negative_word,negative_word_id,positive_word,positive_word_id,order,uuid
のんびり屋,ef83e7b8-9a0f-4836-b21c-98b7194aaa28,細かいことにこだわらない,e170bec2-020e-47c3-a6bc-90f62472c388,1,aed2f73e-9112-4601-b30a-f31a2dd23ea5
薄情,ca0eebcf-4adb-4666-a172-4ce88fb746b5,クール,1a4dbef0-6591-49d9-8f0e-7ef6a8ee7040,1,eeadb4c6-a7f1-458c-be76-45d95e9be5d1
薄情,ca0eebcf-4adb-4666-a172-4ce88fb746b5,冷静,f6e733af-e318-4701-b8f8-235cb1d1fe10,2,9d7e8ed1-e501-4112-94d7-f694fedde83d
八方美人,d87c99a0-e08b-4ccc-9c82-2431f7d6d7b1,視野が広い,be10a5f3-03bc-470f-b2bc-52c95039d168,1,491e018a-6aef-4a76-86cc-7ea90c41cbb9
反抗的,8be4561c-16b4-4ad6-a848-6ea50bef9503,自立心がある,e30e060b-da8c-40b0-8def-0b76997bc7ad,1,6277425c-e23f-4546-96db-3745261b5673
引っ込み思案,c79af0b0-36cf-4e4a-933b-e4962b193cc1,控えめ,fe843e37-9e7f-4ff6-9bde-6124d3d6ac23,1,52269228-06c8-42ea-9020-cc7be5b96698
人づきあいが下手,67978fc9-5f9d-4f6b-aee5-6004b2a82867,細やかな心をもっている,6079f8bf-9c39-4aef-83ef-d50485520825,,569a54ad-d448-4f6c-b7da-3f8d1eaf49f9
人に合わせすぎ,4737ba20-72ab-4799-847c-59389cccbe87,協調性が豊か,cfa0ecdd-9c31-46b2-885a-7e2fc37c4646,,5e553304-4f7d-4115-8425-2af5f46f6d52
人に厳しい,63b02790-66d1-4525-ad32-877371a87d89,自分に自信がある,f3a02c39-9e99-456a-834c-a0171768b7f9,2,96614847-db5f-45e3-9add-b93a8c4f4fe0
人に厳しい,63b02790-66d1-4525-ad32-877371a87d89,責任感がある,8b6cf16a-976f-4a20-b28c-7ad0ee7b4b33,1,479bf645-739d-48ff-bb5f-a51a9a6bbce4
人任せ,80852922-cfec-483e-9cea-e19cd4a0a9d2,甘え上手,c5c301a1-3ac8-40cb-b87c-62f2853fad0b,,4874a38b-2d9c-429d-a858-caba4a846a1d
人をうらやみがち,b830828d-b02d-4113-a4d3-cb2dfd070e54,理想がある,bb4d9fbf-726e-44b1-a879-559e12a6d67a,,0b60c3b2-1e2f-4e02-a99f-13c65d153e81
ふざけがち,fee64cff-9e9e-46b6-bbb6-4cb92edddfb2,おもしろい,2b9935a4-c4bf-46f7-a13a-66275eaba406,1,323b0498-beff-4742-a1d0-f32ee7d29b4c
ふざけがち,fee64cff-9e9e-46b6-bbb6-4cb92edddfb2,ユーモアがある,e7bac4d2-9bd8-4dfe-b512-fe78a65b76a4,2,73949080-eac7-4cd7-b570-21a9695ed702
プライドが高い,4abd5781-4624-4aa6-b2c0-62a364e01324,自分に自信がある,f3a02c39-9e99-456a-834c-a0171768b7f9,,1b0d91fe-923c-42be-86fd-b1c9cad19814
平凡,02aad741-00c2-42ad-830a-1dfa6c27ff9c,常識がある,35e08c86-5778-44c2-adbe-c1a7a7782cef,,99872ec3-b292-4193-9f2a-8efda9dcd323
